front_x,front_y,left_x,left_y,right_x,right_y,wrist_x,wrist_y
300,487,269,200,188,198,114,76
10,487,503,168,421,236,442,41
329,431,253,278,138,268,83,183
195,180,475,304,248,344,216,281
328,403,260,320,126,309,66,329
74,459,476,222,375,272,394,53
404,347,172,464,10,400,44,398
421,511,170,181,105,157,44,226
229,347,403,434,241,465,79,351
355,445,226,260,121,245,73,161
159,431,414,260,301,287,162,31
313,361,287,406,114,392,44,395
474,347,77,481,12,319,48,390
250,332,387,481,196,487,55,409
117,431,454,256,342,299,323,49
182,178,497,310,265,358,235,285
299,333,320,489,102,460,34,431
75,403,505,270,391,356,449,84
201,431,375,266,258,289,79,25
356,403,229,323,96,303,67,341
258,403,330,308,196,314,37,51
404,375,175,386,25,343,50,383
412,375,167,392,19,342,53,402
432,417,152,311,33,269,59,325
432,403,150,332,24,288,56,346
370,459,212,243,117,224,77,179
369,417,215,305,92,282,67,319
262,75,479,375,131,444,39,459
469,445,120,265,23,218,46,262
130,473,415,212,323,245,184,42
285,333,337,488,124,467,32,432
404,403,179,325,51,291,62,319
342,459,238,238,139,227,93,143
244,162,469,379,172,445,60,449
243,375,363,361,204,368,47,235
215,361,407,393,246,453,93,276
285,389,308,339,161,335,44,276
453,445,135,265,37,222,44,276
376,473,206,223,120,205,89,153
427,431,157,286,48,249,51,288
201,459,361,229,262,250,75,22
210,34,492,355,228,414,115,423
158,373,438,293,309,334,185,75
158,459,399,226,300,257,151,30
145,191,510,286,322,331,321,276
116,487,418,188,334,225,271,50
318,403,269,319,137,310,63,311
118,459,435,224,337,265,290,46
348,459,232,239,135,227,93,158
302,320,310,499,89,472,21,438
417,347,155,469,9,392,42,404
215,333,433,471,241,493,115,424
220,375,390,359,239,409,77,193
108,375,502,355,365,426,439,212
226,115,466,340,200,372,120,354
417,445,167,264,68,232,52,235
257,347,366,437,180,454,48,371
33,487,488,177,401,234,433,45
215,389,385,332,245,332,74,96
243,473,319,216,229,225,50,28
501,389,69,374,13,245,64,349
286,473,283,217,193,218,72,54
144,246,504,297,330,373,308,266
299,403,290,316,155,315,50,174
300,431,282,275,166,275,58,74
74,445,486,235,379,289,402,54
48,501,466,167,385,217,416,59
89,389,501,279,382,381,447,116
455,347,103,481,10,374,44,402
187,487,360,193,277,214,107,31
257,431,322,272,204,282,30,37
334,333,270,487,68,451,34,436
433,487,158,209,82,178,51,206
74,487,456,186,369,232,368,52
488,487,111,215,32,165,66,215
328,389,262,345,117,332,62,366
159,445,405,242,300,275,157,31
440,389,137,363,11,307,56,370
286,361,320,401,140,388,44,376
60,501,458,171,374,218,407,59
293,174,322,466,88,466,16,457
482,334,56,500,18,308,35,421
216,459,349,229,250,247,46,19
362,375,226,381,70,356,52,402
73,417,501,263,389,333,435,62
469,403,111,337,10,269,52,339
460,403,120,339,10,279,57,357
229,318,426,497,235,481,106,475
144,431,429,258,317,288,223,42
263,511,289,169,222,174,100,100
147,286,496,333,327,409,294,262
215,417,370,288,244,308,55,29
9,459,504,191,432,279,461,36
131,487,407,191,321,224,227,51
180,313,491,495,266,490,267,466
160,348,442,294,306,331,174,73
130,417,454,278,340,311,283,54
404,389,178,353,37,315,57,368
306,445,272,254,165,253,64,69
105,487,428,187,344,226,331,51
193,501,347,177,273,196,103,48
446,487,147,211,71,175,50,202
328,417,258,302,133,291,66,279
104,389,493,288,376,393,414,126
148,473,399,208,308,239,171,36
75,501,445,173,363,215,379,71
19,459,506,202,424,279,457,34
215,347,421,431,244,469,104,341
62,445,496,235,390,293,414,51
159,487,383,192,299,217,140,39
404,417,181,306,59,275,66,325
145,487,395,191,311,221,186,46
145,459,410,226,312,260,188,38
474,361,87,440,8,316,45,372
417,487,171,207,94,180,58,199
263,21,479,369,132,407,31,450
103,459,448,223,349,267,329,48
441,431,143,287,36,245,49,290
355,417,229,304,106,285,67,308
501,473,96,232,19,174,75,231
24,445,506,215,423,298,457,38
89,459,461,222,361,269,369,51
102,431,468,254,356,303,364,53
23,510,480,157,403,212,436,45
447,473,144,228,59,191,44,189
201,501,341,178,266,195,93,48
412,361,164,430,11,369,54,386
229,8,487,348,169,412,50,444
178,249,467,300,275,345,203,225
61,487,467,184,379,232,396,48
230,333,413,475,238,485,88,417
257,445,316,252,208,262,29,28
384,431,199,283,87,259,55,256
482,361,77,441,10,312,50,373
158,473,390,208,299,237,136,31
341,431,241,279,127,267,71,196
418,333,150,498,10,410,39,407
306,501,261,185,186,183,115,88
243,459,326,233,226,244,36,20
90,501,431,173,351,212,359,60
144,445,420,241,314,276,221,41
116,473,426,205,335,243,263,45
287,445,289,255,182,258,42,44
47,459,498,215,398,274,435,51
341,445,239,258,133,247,81,141
207,76,489,350,237,392,121,409
161,359,438,294,303,328,171,69
356,389,231,350,86,328,60,383
412,417,173,307,52,272,66,321
488,473,109,227,27,176,68,226
370,445,211,261,109,242,68,194
414,459,171,246,79,217,60,215
474,389,100,368,9,285,49,366
215,21,489,355,209,421,106,428
