front_x,front_y,left_x,left_y,right_x,right_y,wrist_x,wrist_y
202,487,351,205,267,217,422,22
257,375,346,376,179,381,395,184
400,348,186,341,18,308,120,166
130,501,399,180,323,207,471,20
10,487,504,167,425,226,498,42
243,333,390,474,177,487,413,276
47,459,498,211,400,262,491,34
87,431,481,254,369,295,494,39
188,403,406,315,266,339,469,73
425,145,121,470,43,230,8,138
278,347,338,448,139,446,388,262
483,389,89,383,10,260,43,99
404,149,165,364,37,153,23,53
243,459,328,247,225,250,401,24
187,389,415,338,264,365,475,91
419,441,169,292,56,245,168,18
372,288,221,369,22,348,125,182
77,389,510,304,388,371,489,101
137,389,465,324,322,362,501,80
186,431,392,274,272,294,460,29
275,470,295,238,198,233,384,25
159,413,429,297,299,326,491,59
488,474,111,253,18,192,111,26
393,257,177,383,10,333,77,143
292,403,300,333,156,324,315,88
443,333,99,497,9,306,20,326
511,338,27,499,32,205,33,213
243,375,362,372,196,383,401,151
350,473,233,247,135,223,261,28
9,473,507,175,430,243,498,43
188,361,437,394,258,424,487,158
90,375,509,332,376,399,492,110
221,509,325,182,253,189,408,24
272,6,294,444,71,286,294,171
324,67,281,403,54,346,150,169
428,459,163,272,61,225,174,22
396,173,176,381,9,310,51,91
102,431,467,257,355,296,496,30
284,361,324,415,140,406,382,227
502,375,58,417,18,227,37,99
135,474,411,212,321,240,485,14
116,445,445,242,339,276,497,18
468,445,123,292,15,232,102,24
313,480,261,207,176,194,307,28
177,305,498,504,260,492,503,332
202,333,445,463,232,491,483,237
440,347,115,455,8,304,55,229
132,403,460,303,327,340,500,56
455,361,107,442,8,299,58,187
214,427,368,285,244,297,424,33
257,333,371,478,158,485,398,287
159,375,457,357,296,393,501,111
187,375,426,364,262,393,479,120
391,352,196,340,30,316,133,179
145,347,500,415,312,466,500,208
104,389,500,318,358,366,497,82
344,431,242,301,118,276,260,38
488,417,94,333,11,234,61,23
346,445,238,284,123,259,261,36
215,417,372,300,240,314,427,56
358,331,233,354,62,326,218,28
271,160,286,443,44,390,369,364
215,445,358,261,246,272,415,19
76,502,443,169,367,207,479,25
358,289,235,375,33,357,135,193
61,473,474,196,385,241,490,25
432,509,163,208,90,167,187,45
51,510,459,158,386,202,481,33
271,431,312,291,188,288,377,40
501,361,52,448,19,253,26,133
93,501,429,174,353,209,485,25
420,399,159,345,21,296,119,186
117,375,500,346,344,396,498,103
422,509,171,205,98,168,199,44
299,489,272,207,188,198,328,36
273,104,268,429,42,353,340,354
147,431,427,269,311,298,492,34
131,333,508,438,331,498,499,253
328,345,267,352,103,330,270,42
440,403,139,351,10,284,107,34
369,337,224,357,49,325,209,24
172,375,443,360,280,394,497,119
319,314,278,362,97,352,282,57
446,361,115,442,8,302,66,193
116,361,509,371,348,427,498,148
145,417,439,288,313,320,495,47
446,417,138,334,14,274,103,32
122,459,432,227,333,258,496,17
93,403,498,293,368,340,496,62
427,339,127,480,9,311,61,250
332,305,266,366,76,352,247,39
88,455,463,227,364,265,496,22
487,487,114,242,24,181,156,27
242,445,334,265,221,268,400,28
284,375,317,382,148,375,329,134
159,445,407,250,299,274,487,18
74,459,472,218,376,259,493,26
271,77,281,417,53,346,344,344
276,445,301,272,188,266,373,36
230,333,407,469,195,488,436,261
66,417,508,267,392,322,492,58
502,389,66,388,14,233,41,78
177,459,384,235,284,255,460,22
61,487,466,180,383,224,485,21
474,389,100,383,10,271,42,114
394,368,191,333,36,305,130,191
145,333,507,445,314,496,499,239
229,431,351,282,229,290,408,34
106,375,507,343,358,397,496,104
145,319,507,475,310,498,502,288
388,311,200,349,17,322,127,47
46,445,506,224,405,279,497,48
144,459,412,230,314,257,490,15
74,431,495,252,382,297,489,30
357,152,236,403,21,363,102,158
173,389,430,335,280,366,492,89
285,160,286,445,40,394,329,348
235,459,334,245,232,250,404,20
117,474,425,206,336,238,491,16
250,32,365,403,100,295,405,323
342,298,254,378,61,358,239,38
160,305,507,500,288,488,506,334
300,417,288,311,155,302,308,71
102,455,451,229,351,264,496,19
332,289,268,379,68,368,264,63
22,445,509,206,427,283,498,57
117,431,454,261,340,296,497,27
243,361,370,402,189,414,403,191
109,487,425,189,343,223,492,19
201,459,365,240,263,253,427,20
159,459,400,232,300,256,484,13
497,403,78,359,11,225,50,28
259,389,337,349,183,351,393,113
348,459,235,267,129,242,263,29
200,319,462,497,230,499,491,287
488,446,104,290,7,217,87,25
